d,m,y,zona,tipo,nutri
20,1,2025,BSS,NA,Muy Bueno
20,1,2025,BSS,NA,Muy Bueno
20,1,2025,BSS,NA,Muy Bueno
20,1,2025,BSS,NA,Muy Bueno
28,1,2025,BR,vaca,Muy Bueno
3,2,2025,BSO,vaca,Muy Bueno
4,2,2025,BSO,NA,Muy Bueno
4,2,2025,BSO,NA,Muy Bueno
21,2,2025,BSO,vaca,Muy Bueno
21,2,2025,BSO,vaca,Muy Bueno
26,2,2025,BSO,toro,Muy Bueno
13,3,2025,BSS,vaca,Muy Bueno
15,3,2025,BSS,ternero,Muy Bueno
15,3,2025,BSS,ternero,Muy Bueno
17,3,2025,BSS,vaca,Muy Bueno
17,3,2025,BSS,vaca,Muy Bueno
6,4,2025,BSS,novillo,Muy Bueno
9,4,2025,BR,NA,Muy Bueno
18,4,2025,BR,vaca,Muy Bueno
18,4,2025,BR,vaca,Muy Bueno
18,4,2025,BR,ternero,Muy Bueno
4,5,2025,BR,vaquillona,Muy Bueno
5,5,2025,BR,toro,Muy Bueno
18,5,2025,BSS,ternero,Muy Bueno
18,5,2025,BSS,ternero,Muy Bueno
18,5,2025,BSS,ternero,Muy Bueno
18,5,2025,BSS,ternero,Muy Bueno
19,5,2025,BR,ternero,Muy Bueno
19,5,2025,BR,ternero,Muy Bueno
19,5,2025,BR,ternero,Muy Bueno
19,5,2025,BR,ternero,Muy Bueno
21,5,2025,BR,vaca,Muy Bueno
21,5,2025,BR,toro,Muy Bueno
21,5,2025,BR,ternero,Muy Bueno
21,5,2025,BR,ternero,Muy Bueno
